index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud
208,2021,4,SALTA,33.940639744985226,13.759337691497716,56.81442605762217,-24.248013631473587,-64.70250708135784
209,2021,4,SAN JUAN,11.05274930815778,10.084133235970333,39.588851864871685,-31.31442612644254,-68.50334378949645
210,2021,4,SAN LUIS,20.90972444801464,22.97895624197615,80.29578283135379,-32.98264595285886,-65.88683861327827
211,2021,4,SANTA CRUZ,8.990650984477549,12.808821353847454,43.05121466117346,-48.863730255517886,-69.86373350526509
212,2021,4,SANTA FE,36.024023837275145,24.23965799751964,77.08920179439227,-31.64634283294476,-61.04726054930406
213,2021,4,SANTIAGO DEL ESTERO,13.84088684951507,11.675440470480114,47.0459491943867,-27.784103764741893,-63.62189998971087
214,2021,4,TIERRA DEL FUEGO,10.696704944050463,29.171007839182543,98.40061644865432,-62.35015217161648,-59.53190998460846
215,2021,4,TUCUMAN,45.14812243339947,13.852880446424065,55.92599102424391,-26.998180477681764,-65.29453734502505
216,2021,3,BUENOS AIRES,56.25755092469591,23.96989190399953,71.68218940101933,-35.633728326052875,-59.695392866402734
218,2021,3,CATAMARCA,43.43333599763174,13.407472376612356,52.70979348600128,-27.97273476331947,-66.12713970412685
219,2021,3,CHACO,39.113135809207584,11.48213456009956,42.96241007967663,-26.86207729911804,-60.15511735633289
220,2021,3,CHUBUT,8.176860363136605,24.738375502880167,80.70973847657562,-44.077151734192086,-68.66765299463769
221,2021,3,CORDOBA,41.92778724566202,24.885957628675676,81.2845665540848,-31.846608244153405,-63.96214628932277
222,2021,3,CORRIENTES,32.16890082785829,11.8228555121759,44.90088312664412,-28.61578113415668,-57.97533573736128
223,2021,3,ENTRE RIOS,29.60123187949277,18.590565595869126,62.17940145385769,-31.925167566210387,-59.26302098168299
224,2021,3,FORMOSA,26.68942678494665,8.643582187295351,33.962033540684324,-25.09315954739276,-59.46860152020448
225,2021,3,JUJUY,25.980702520297545,14.240381868423986,55.6892647441935,-23.523573011085336,-65.43805280478172
226,2021,3,LA PAMPA,12.99161507240359,27.767891191051227,84.27996309653611,-36.47714174789248,-64.4553406128059
