index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud,Accesos_siguiente_trimestre,KPI_propuesto,Mbps_ano_anterior,KPI_crecimiento_anual,Variacion_trimestral,KPI_variacion_trimestral_media
133,2022,3,MISIONES,49.3,14.11,51.82,-27.058215458325986,-54.96724865075839,51.0,1.582400617522193,91.49,-46.114329434910914,-0.28000000000000114,-0.33561516582436335
134,2022,3,NEUQUEN,47.81,23.92,80.37,-38.49954335558701,-69.8742115743201,80.02,0.43548587781511566,96.57,-50.49187118152635,0.5100000000000016,-0.32563489347642705
135,2022,3,RIO NEGRO,34.13,20.91,67.98,-39.89645026413934,-67.6105113380815,67.85,0.19123271550457438,70.93,-51.88213731848301,-0.129999999999999,-0.16294253978901452
136,2022,3,SALTA,41.33,13.99,57.76,-24.248013631473587,-64.70250708135784,57.54,0.3808864265927958,80.8,-48.8490099009901,-0.049999999999998934,-0.09545848666156198
137,2022,3,SAN JUAN,15.84,12.94,50.8,-31.31442612644254,-68.50334378949645,49.46,2.6377952755905443,24.45,-35.214723926380366,-0.02000000000000135,-0.3944708828483412
138,2022,3,SAN LUIS,19.33,23.39,81.74,-32.98264595285886,-65.88683861327827,81.76,-0.024467824810386878,104.97,-81.58521482328285,-2.4399999999999977,-0.6745859420781546
139,2022,3,SANTA CRUZ,12.6,12.85,43.19,-48.863730255517886,-69.86373350526509,43.15,0.09261403102569843,15.67,-19.591576260370136,-0.09999999999999964,-0.006425667797607115
140,2022,3,SANTA FE,45.15,24.7,78.55,-31.64634283294476,-61.04726054930406,77.9,0.8274984086568956,97.39,-53.64000410719787,0.05000000000000071,-0.06565075026639722
141,2022,3,SANTIAGO DEL ESTERO,17.69,11.91,47.98,-27.784103764741893,-63.62189998971087,47.7,0.5835764902042393,41.46,-57.33236854799807,-0.009999999999999787,-0.023279466992626396
142,2022,3,TIERRA DEL FUEGO,11.01,29.5,99.51,-62.35015217161648,-59.53190998460846,99.86,-0.35172344487990587,17.17,-35.87652882935353,-0.5700000000000003,-0.44033723982852724
